ID_Adherent,Entreprise,Secteur,Filière_CFCIM,Région,Taille,CA_Estimé_MDH,Score_Engagement,Score_Calculé,score_events,score_email,score_services,score_digital,score_dynamique,Segment,Nb_Participations_12m,Nb_Services_Distincts,Email_Optin,App_MyCFCIM,Date_Calcul
ADH-0001,Vision Consulting,BTP & Immobilier,Agrotech,Oriental,ETI (51-250),105.8,45,33,67,0,18,60,0,À risque,2,2,Non,Oui,2026-04-21
ADH-0002,Nova Construction,BTP & Immobilier,Tech & Services,Casablanca-Settat,TPE (1-10),1.5,58,24,33,0,27,60,0,À risque,1,3,Non,Oui,2026-04-21
ADH-0003,Neo Pharma,Industrie manufacturière,Industrie & Infrastructures,Souss-Massa,PME (11-50),25.2,12,47,67,1,9,100,100,Modéré,2,1,Oui,Oui,2026-04-21
ADH-0004,Neo Construction,Énergie & Environnement,Tech & Services,Casablanca-Settat,Grande Entreprise (250+),1927.3,58,37,33,20,36,100,0,À risque,1,4,Oui,Oui,2026-04-21
ADH-0005,Africa Consulting,Énergie & Environnement,Art de vivre & Santé,Casablanca-Settat,TPE (1-10),1.7,34,51,100,11,9,40,100,Modéré,3,1,Oui,Non,2026-04-21
ADH-0006,Casa Development,Agroalimentaire,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),32.8,25,53,100,0,18,60,100,Modéré,3,2,Non,Oui,2026-04-21
ADH-0007,Neo Solutions,BTP & Immobilier,Agrotech,Casablanca-Settat,PME (11-50),49.3,48,33,67,15,18,40,0,À risque,2,2,Oui,Non,2026-04-21
ADH-0008,Tanger Foods,Finance & Assurance,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),21.7,20,39,33,10,9,100,100,À risque,1,1,Oui,Oui,2026-04-21
ADH-0009,Optima Pharma,Automobile,Agrotech,Fès-Meknès,TPE (1-10),1.2,12,30,33,10,9,40,100,À risque,1,1,Oui,Non,2026-04-21
ADH-0010,Souss Invest,Énergie & Environnement,Tech & Services,Tanger-Tétouan,TPE (1-10),0.8,39,54,100,19,18,40,100,Modéré,3,2,Oui,Non,2026-04-21
ADH-0011,Tanger Solutions,IT & Digital,Tech & Services,Casablanca-Settat,TPE (1-10),1.5,15,8,0,1,9,40,0,Dormant,0,1,Oui,Non,2026-04-21
ADH-0012,Royal Logistics,Automobile,Cleantech,Dakhla-Oued Eddahab,ETI (51-250),184.7,80,39,100,0,45,0,0,À risque,2,5,Non,Non,2026-04-21
ADH-0013,Méditerranée Engineering,Automobile,Agrotech,Casablanca-Settat,ETI (51-250),238.9,7,37,33,0,9,100,100,À risque,1,1,Oui,Oui,2026-04-21
ADH-0014,Pro Construction,Tourisme & Hôtellerie,Agrotech,Casablanca-Settat,PME (11-50),31.8,69,37,100,0,36,0,0,À risque,4,4,Non,Non,2026-04-21
ADH-0015,Tech Industries,Finance & Assurance,Industrie & Infrastructures,Souss-Massa,TPE (1-10),3.9,64,50,100,29,36,40,0,Modéré,4,4,Oui,Non,2026-04-21
ADH-0016,Global International,Logistique & Transport,Tech & Services,Casablanca-Settat,PME (11-50),44.4,91,50,100,0,55,60,0,Modéré,6,6,Non,Oui,2026-04-21
ADH-0017,Green Consulting,Éducation & Formation,Tech & Services,Casablanca-Settat,Grande Entreprise (250+),1163,70,49,100,32,27,40,0,Modéré,5,3,Oui,Non,2026-04-21
ADH-0018,Sahara Finance,Distribution & Retail,Art de vivre & Santé,Oriental,Grande Entreprise (250+),1318.2,5,38,33,5,9,100,100,À risque,1,1,Oui,Oui,2026-04-21
ADH-0019,Méditerranée Tech,IT & Digital,Tech & Services,Oriental,TPE (1-10),4.8,81,61,100,35,36,100,0,Actif engagé,3,4,Oui,Oui,2026-04-21
ADH-0020,Tech Services,Automobile,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),12.4,65,49,100,22,36,40,0,Modéré,5,4,Oui,Non,2026-04-21
ADH-0021,First Export,IT & Digital,Agrotech,Casablanca-Settat,ETI (51-250),298.8,55,53,100,21,36,40,50,Modéré,3,4,Oui,Non,2026-04-21
ADH-0022,Prime Consulting,IT & Digital,Agrotech,Casablanca-Settat,PME (11-50),5.9,66,44,100,0,27,60,0,Modéré,4,3,Non,Oui,2026-04-21
ADH-0023,Atlas Solutions,Industrie manufacturière,Industrie & Infrastructures,Fès-Meknès,TPE (1-10),0.8,44,62,100,13,18,100,100,Actif engagé,6,2,Oui,Oui,2026-04-21
ADH-0024,Green Engineering,Conseil & Services,Cleantech,Marrakech-Safi,TPE (1-10),2.9,43,55,100,15,27,40,100,Modéré,4,3,Oui,Non,2026-04-21
ADH-0025,Global Trading,Agroalimentaire,Industrie & Infrastructures,Fès-Meknès,ETI (51-250),138.6,72,65,100,25,45,100,50,Actif engagé,4,5,Oui,Oui,2026-04-21
ADH-0026,Pro Pharma,Finance & Assurance,Art de vivre & Santé,Marrakech-Safi,TPE (1-10),3.8,70,38,33,30,27,100,0,À risque,1,3,Oui,Oui,2026-04-21
ADH-0027,Rif Finance,Logistique & Transport,Agrotech,Casablanca-Settat,ETI (51-250),119.6,56,27,33,24,27,40,0,À risque,1,3,Oui,Non,2026-04-21
ADH-0028,Tech Consulting,BTP & Immobilier,Tech & Services,Casablanca-Settat,TPE (1-10),4.9,30,42,67,15,9,40,100,Modéré,2,1,Oui,Non,2026-04-21
ADH-0029,Smart Energy,IT & Digital,Agrotech,Casablanca-Settat,ETI (51-250),91.2,16,15,0,9,9,40,50,Dormant,0,1,Oui,Non,2026-04-21
ADH-0030,Prime Tech,Textile & Mode,Tech & Services,Souss-Massa,PME (11-50),34.8,65,64,100,25,36,100,50,Actif engagé,6,4,Oui,Oui,2026-04-21
ADH-0031,Euro Trading,BTP & Immobilier,Industrie & Infrastructures,Marrakech-Safi,ETI (51-250),65.2,22,60,100,4,18,100,100,Actif engagé,5,2,Oui,Oui,2026-04-21
ADH-0032,Nova Energy,Santé & Pharma,Tech & Services,Marrakech-Safi,PME (11-50),7.6,20,40,33,11,9,100,100,Modéré,1,1,Oui,Oui,2026-04-21
ADH-0033,Optima Solutions,Finance & Assurance,Tech & Services,Rabat-Salé-Kénitra,TPE (1-10),1,27,42,100,0,9,0,100,Modéré,3,1,Non,Non,2026-04-21
ADH-0034,Maghreb Agri,Agroalimentaire,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),30.4,82,62,100,31,45,100,0,Actif engagé,7,5,Oui,Oui,2026-04-21
ADH-0035,Pro Export,Énergie & Environnement,Agrotech,Rabat-Salé-Kénitra,Grande Entreprise (250+),522.5,70,49,100,24,36,40,0,Modéré,3,4,Oui,Non,2026-04-21
ADH-0036,Maroc Industries,Logistique & Transport,Industrie & Infrastructures,Rabat-Salé-Kénitra,ETI (51-250),68.3,8,22,33,0,9,0,100,À risque,1,1,Non,Non,2026-04-21
ADH-0037,Royal Partners,Télécoms,Industrie & Infrastructures,Casablanca-Settat,TPE (1-10),2.2,60,47,100,24,27,40,0,Modéré,6,3,Oui,Non,2026-04-21
ADH-0038,Neo Tech,Tourisme & Hôtellerie,Industrie & Infrastructures,Oriental,ETI (51-250),52,31,36,33,10,18,100,50,À risque,1,2,Oui,Oui,2026-04-21
ADH-0039,Tanger Consulting,Télécoms,Tech & Services,Souss-Massa,ETI (51-250),88.9,80,48,100,0,45,60,0,Modéré,3,5,Non,Oui,2026-04-21
ADH-0040,Neo Capital,IT & Digital,Industrie & Infrastructures,Souss-Massa,PME (11-50),27.7,46,64,100,15,27,100,100,Actif engagé,4,3,Oui,Oui,2026-04-21
ADH-0041,Vision Construction,Éducation & Formation,Art de vivre & Santé,Souss-Massa,PME (11-50),20,45,63,100,18,18,100,100,Actif engagé,3,2,Oui,Oui,2026-04-21
